"Dato";"Tekst";"Beløb";"Saldo";"Status";"Afstemt"
"12.01.2025";"MobilePay EASY PARK A/S";"-34,50";"2.128,51";"Udført";"Nej"
"13.01.2025";"Apotek Fisketorvet 33146";"-81,30";"2.047,21";"Udført";"Nej"
"13.01.2025";"Bog & idé Fisketor 93615";"-34,95";"2.012,26";"Udført";"Nej"
"13.01.2025";"føtex Ndr. Fasanve 42631";"-18,95";"1.993,31";"Udført";"Nej"
"13.01.2025";"Netto Hvidovrevej  32668";"-351,25";"1.642,06";"Udført";"Nej"
"13.01.2025";"Lidl               99350";"-41,00";"1.601,06";"Udført";"Nej"
"13.01.2025";"tipster.dk         0-2-3";"-530,00";"1.071,06";"Udført";"Nej"
"14.01.2025";"R-BAKERY V/RENE OSTERG\ \HV...";"-140,00";"931,06";"Udført";"Nej"
"14.01.2025";"GOOGLE *Google Nest\ \g.co/...";"-40,00";"891,06";"Udført";"Nej"
"14.01.2025";"KVICKLY HVIDOVRE   98570";"-6,50";"884,56";"Udført";"Nej"
"14.01.2025";"jem & fix          06493";"-19,50";"865,06";"Udført";"Nej"
"14.01.2025";"Thansen Brøndby    31943";"-499,00";"366,06";"Udført";"Nej"
"14.01.2025";"hvidovre-atletik.d  7423";"-450,00";"-83,94";"Udført";"Nej"
"15.01.2025";"Til Dagligvarer";"1.500,00";"1.416,06";"Udført";"Nej"
"15.01.2025";"Til Dagligvarer";"1.500,00";"2.916,06";"Udført";"Nej"
"16.01.2025";"Ume Asian Supermar 55859";"-131,60";"2.784,46";"Udført";"Nej"
"16.01.2025";"LIDL               02040";"-255,43";"2.529,03";"Udført";"Nej"
"20.01.2025";"Netto Hvidovrevej  20355";"-309,20";"2.219,83";"Udført";"Nej"
"20.01.2025";"IKEA 686 IF Kiosk  13606";"-24,00";"2.195,83";"Udført";"Nej"
"20.01.2025";"IKEA 686 HFB ECO   23177";"-1.105,00";"1.090,83";"Udført";"Nej"
"20.01.2025";"NETTO LUFTHAVNEN   80476";"-46,25";"1.044,58";"Udført";"Nej"
"21.01.2025";"R-BAKERY V/RENE OSTERG\ \HV...";"-177,00";"867,58";"Udført";"Nej"
"21.01.2025";"APPLE.COM/BILL\ \80249625\";"-89,00";"778,58";"Udført";"Nej"
"21.01.2025";"Spotify P334E16EBE\ \Stockh...";"-149,00";"629,58";"Udført";"Nej"
"21.01.2025";"Børneloppen Valby  61033";"-5,00";"624,58";"Udført";"Nej"
"21.01.2025";"matas.dk           41892";"-516,56";"108,02";"Udført";"Nej"
"21.01.2025";"LIDL               10024";"-81,60";"26,42";"Udført";"Nej"
"21.01.2025";"føtex Frederiksber 40806";"-10,00";"16,42";"Udført";"Nej"
"22.01.2025";"Fra Lee Ann Hollesen";"1.000,00";"1.016,42";"Udført";"Nej"
"22.01.2025";"Tipster at Mark";"265,00";"1.281,42";"Udført";"Nej"
