"Dato";"Tekst";"Beløb";"Saldo";"Status";"Afstemt"
"20.01.2025";"Børnepenge - PRM";"2.327,00";"22.102,39";"Udført";"Nej"
"20.01.2025";"Børnepenge - LAH";"2.327,00";"24.429,39";"Udført";"Nej"
"31.01.2025";"Huslån - PRM";"8.947,08";"33.376,47";"Udført";"Nej"
"31.01.2025";"Huslån - LAH";"8.947,08";"42.323,55";"Udført";"Nej"
"03.02.2025";"Tryg";"-402,78";"41.920,77";"Udført";"Nej"
"03.02.2025";"Tryg";"-588,80";"41.331,97";"Udført";"Nej"
"03.02.2025";"Tryg";"-1.151,38";"40.180,59";"Udført";"Nej"
"03.02.2025";"Realkredit Danmark";"-14.595,93";"25.584,66";"Udført";"Nej"
"03.02.2025";"Hvidovre kommune";"-6.136,00";"19.448,66";"Udført";"Nej"
"03.02.2025";"iCloud";"-69,00";"19.379,66";"Udført";"Nej"
"03.02.2025";"Vuggestue - PRM";"2.010,50";"21.390,16";"Udført";"Nej"
"03.02.2025";"Ejendommensskat - PRM";"1.224,50";"22.614,66";"Udført";"Nej"
"03.02.2025";"El, vand og varme - PRM";"1.084,00";"23.698,66";"Udført";"Nej"
"03.02.2025";"Ulykkesforsikring - PRM";"539,50";"24.238,16";"Udført";"Nej"
"03.02.2025";"Hus, indboforsikr - PRM";"347,00";"24.585,16";"Udført";"Nej"
"03.02.2025";"Bilforsikr, afgift - PRM";"250,00";"24.835,16";"Udført";"Nej"
"03.02.2025";"Spotify, iCloud - PRM";"97,00";"24.932,16";"Udført";"Nej"
"03.02.2025";"Tandforsikring - PRM";"60,00";"24.992,16";"Udført";"Nej"
"03.02.2025";"Vuggestue - LAH";"2.010,50";"27.002,66";"Udført";"Nej"
"03.02.2025";"Ejendomsskat - LAH";"1.224,50";"28.227,16";"Udført";"Nej"
"03.02.2025";"El, vand og varme - LAH";"1.084,00";"29.311,16";"Udført";"Nej"
"03.02.2025";"Hus, indboforsikr - LAH";"347,00";"29.658,16";"Udført";"Nej"
"03.02.2025";"Bilforsikr, afgift - LAH";"250,00";"29.908,16";"Udført";"Nej"
"03.02.2025";"Spotify, iCloud - LAH";"97,00";"30.005,16";"Udført";"Nej"
"03.02.2025";"Tandforsikring - LAH";"60,00";"30.065,16";"Udført";"Nej"
"05.02.2025";"Fra FFU";"-10.000,00";"20.065,16";"Udført";"Nej"
"05.02.2025";"Fra faste fællesudgifter";"-10.000,00";"10.065,16";"Udført";"Nej"
"06.02.2025";"Evida Service Nord A/S";"-2.416,67";"7.648,49";"Udført";"Nej"
"28.02.2025";"Realkredit Danmark";"-14.595,93";"-6.947,44";"Udført";"Nej"
"28.02.2025";"Huslån - PRM";"7.298,00";"350,56";"Udført";"Nej"
"28.02.2025";"Huslån - LAH";"7.298,00";"7.648,56";"Udført";"Nej"
"03.03.2025";"Tryg";"-2.088,11";"5.560,45";"Udført";"Nej"
"03.03.2025";"Tryg";"-983,10";"4.577,35";"Udført";"Nej"
"03.03.2025";"Tryg";"-2.284,25";"2.293,10";"Udført";"Nej"
"03.03.2025";"Hvidovre kommune";"-6.136,00";"-3.842,90";"Udført";"Nej"
"03.03.2025";"Vuggestue - PRM";"3.068,00";"-774,90";"Udført";"Nej"
"03.03.2025";"El, vand og varme - PRM";"1.084,00";"309,10";"Udført";"Nej"
"03.03.2025";"Hus, indboforsikr - PRM";"387,00";"696,10";"Udført";"Nej"
"03.03.2025";"Bilforsikr, afgift - PRM";"300,00";"996,10";"Udført";"Nej"
"03.03.2025";"Sundhedsforsikring - PRM";"191,00";"1.187,10";"Udført";"Nej"
"03.03.2025";"Renovation - PRM";"171,00";"1.358,10";"Udført";"Nej"
"03.03.2025";"Spotify, iCloud - PRM";"97,00";"1.455,10";"Udført";"Nej"
"03.03.2025";"Vuggestue - LAH";"3.068,00";"4.523,10";"Udført";"Nej"
"03.03.2025";"El, vand og varme - LAH";"1.084,00";"5.607,10";"Udført";"Nej"
"03.03.2025";"Hus, indboforsikr - LAH";"387,00";"5.994,10";"Udført";"Nej"
"03.03.2025";"Bilforsikr, afgift - LAH";"300,00";"6.294,10";"Udført";"Nej"
"03.03.2025";"Sundhedsforsikring - LAH";"191,00";"6.485,10";"Udført";"Nej"
"03.03.2025";"Renovation - LAH";"171,00";"6.656,10";"Udført";"Nej"
"03.03.2025";"Spotify, iCloud - LAH";"97,00";"6.753,10";"Udført";"Nej"
"03.03.2025";"iCloud";"-69,00";"6.684,10";"Udført";"Nej"
"31.03.2025";"Realkredit Danmark";"-14.595,91";"-7.911,81";"Udført";"Nej"
"31.03.2025";"Huslån - PRM";"7.298,00";"-613,81";"Udført";"Nej"
"31.03.2025";"Huslån - LAH";"7.298,00";"6.684,19";"Udført";"Nej"
"01.04.2025";"iCloud";"-69,00";"6.615,19";"Udført";"Nej"
"01.04.2025";"Vuggestue - PRM";"3.068,00";"9.683,19";"Udført";"Nej"
"01.04.2025";"El, vand og varme - PRM";"1.084,00";"10.767,19";"Udført";"Nej"
"01.04.2025";"Hus, indboforsikr - PRM";"387,00";"11.154,19";"Udført";"Nej"
"01.04.2025";"Bilforsikr, afgift - PRM";"300,00";"11.454,19";"Udført";"Nej"
"01.04.2025";"Sundhedsforsikring - PRM";"191,00";"11.645,19";"Udført";"Nej"
"01.04.2025";"Renovation - PRM";"171,00";"11.816,19";"Udført";"Nej"
"01.04.2025";"Spotify, iCloud - PRM";"97,00";"11.913,19";"Udført";"Nej"
"01.04.2025";"Vuggestue - LAH";"3.068,00";"14.981,19";"Udført";"Nej"
"01.04.2025";"El, vand og varme - LAH";"1.084,00";"16.065,19";"Udført";"Nej"
"01.04.2025";"Hus, indboforsikr - LAH";"387,00";"16.452,19";"Udført";"Nej"
"01.04.2025";"Bilforsikr, afgift - LAH";"300,00";"16.752,19";"Udført";"Nej"
"01.04.2025";"Sundhedsforsikring - LAH";"191,00";"16.943,19";"Udført";"Nej"
"01.04.2025";"Renovation - LAH";"171,00";"17.114,19";"Udført";"Nej"
"01.04.2025";"Spotify, iCloud - LAH";"97,00";"17.211,19";"Udført";"Nej"
