"Dato";"Kategori";"Underkategori";"Tekst";"Beløb";"Saldo";"Status";"Afstemt"
"13.01.2025";"Tøj, sko og personlig pleje                                                   ";"Tøj/sko                                                                       ";"XEROSHOES.EU\ \PRAGUE\";"-693,64";"29.176,37";"Udført";"Nej"
"14.01.2025";"Øvrige udgifter                                                               ";"Elartikler/hvidevarer                                                         ";"LOOMISP*Phoneklinik Ap\ \Ko...";"-149,00";"29.027,37";"Udført";"Nej"
"14.01.2025";"Fornøjelser og fritid                                                         ";"Cykel/tilbehør                                                                ";"CYKELEXPERTEN.DK\ \VANLOSE\";"-538,00";"28.489,37";"Udført";"Nej"
"14.01.2025";"Ukategoriseret                                                                ";"Ukategoriseret                                                                ";"AMZN Digital*ZD81X93A1\ \88...";"-109,21";"28.380,16";"Udført";"Nej"
"14.01.2025";"Ukategoriseret                                                                ";"Ukategoriseret                                                                ";"Udl. kortbetaling, 1.50% af...";"-1,64";"28.378,52";"Udført";"Nej"
"14.01.2025";"Ukategoriseret                                                                ";"Ukategoriseret                                                                ";"RPSTRENGTH\ \RPSTRENGTH.CO\";"-255,61";"28.122,91";"Udført";"Nej"
"14.01.2025";"Ukategoriseret                                                                ";"Ukategoriseret                                                                ";"Udl. kortbetaling, 1.50% af...";"-3,83";"28.119,08";"Udført";"Nej"
"14.01.2025";"Fornøjelser og fritid                                                         ";"Fritidsaktivitet                                                              ";"sportsmagneter.dk  mGGpi";"-238,00";"27.881,08";"Udført";"Nej"
"15.01.2025";"Øvrige udgifter                                                               ";"Budgetoverførsel                                                              ";"Til Dagligvarer";"-1.500,00";"26.381,08";"Udført";"Nej"
"16.01.2025";"Ukategoriseret                                                                ";"Ukategoriseret                                                                ";"MobilePay Orion Shanti Dals...";"300,00";"26.681,08";"Udført";"Nej"
"17.01.2025";"Ukategoriseret                                                                ";"Ukategoriseret                                                                ";"Ingeniørforeningen 40260";"-3.200,00";"23.481,08";"Udført";"Nej"
"20.01.2025";"Ukategoriseret                                                                ";"Ukategoriseret                                                                ";"Børne- og Ungeydelse";"4.742,00";"28.223,08";"Udført";"Nej"
"20.01.2025";"Øvrige udgifter                                                               ";"Overførsler                                                                   ";"Børnepenge - PRM";"-2.327,00";"25.896,08";"Udført";"Nej"
"20.01.2025";"Transport                                                                     ";"Bus/tog                                                                       ";"DSB APP            47045";"-22,00";"25.874,08";"Udført";"Nej"
"20.01.2025";"Transport                                                                     ";"Bus/tog                                                                       ";"DSB APP            97340";"-23,75";"25.850,33";"Udført";"Nej"
"20.01.2025";"Fornøjelser og fritid                                                         ";"Café/restaurant                                                               ";"Gamma NV           02019";"-140,00";"25.710,33";"Udført";"Nej"
"20.01.2025";"Fornøjelser og fritid                                                         ";"Café/restaurant                                                               ";"Kösk Kebab Food Ap 91027";"-62,00";"25.648,33";"Udført";"Nej"
"21.01.2025";"Transport                                                                     ";"Bus/tog                                                                       ";"DSB APP            23850";"-36,80";"25.611,53";"Udført";"Nej"
"22.01.2025";"Fornøjelser og fritid                                                         ";"Café/restaurant                                                               ";"LOOMISP*Restaurant Kos\ \Ko...";"-318,00";"25.293,53";"Udført";"Nej"
"23.01.2025";"Transport                                                                     ";"Bus/tog                                                                       ";"DSB APP            46596";"-22,00";"25.271,53";"Udført";"Nej"
"23.01.2025";"Transport                                                                     ";"Bus/tog                                                                       ";"DSB APP            87924";"-22,00";"25.249,53";"Udført";"Nej"
